address,price,bedrooms,bathrooms,sqft,type
"588 Minna St #306, San Francisco, CA 94103","$550,000",1 bd,1 ba,690 sqft,Condo for sale
"815 Tennessee St UNIT 504, San Francisco, CA 94107","$1,195,000",2 bds,2 ba,-- sqft,
"1438 Green St UNIT 2B, San Francisco, CA 94109","$995,000",1 bd,1 ba,974 sqft,Condo for sale
"1292 Treat Ave, San Francisco, CA 94110","$775,000",2 bds,1 ba,"1,010 sqft",House for sale
"455 27th Ave, San Francisco, CA 94121","$1,375,000",2 bds,1 ba,"1,040 sqft",House for sale
"2 Mint Plz SUITE 704, San Francisco, CA 94103","$800,000",1 bd,1 ba,"1,092 sqft",Condo for sale
"558 Mississippi St, San Francisco, CA 94107","$699,000",1 bd,1 ba,505 sqft,House for sale
"1739 19th Ave, San Francisco, CA 94122","$475,791",2 bds,2 ba,"1,780 sqft",Townhouse for sale
"1725 Quesada Ave, San Francisco, CA 94124","$600,000",3 bds,2 ba,"1,011 sqft",Condo for sale
